2026-01-27 13:14:29 INFO commands.gen_schemas - Using config from config.yaml
2026-01-27 13:14:29 INFO commands.gen_schemas - Batch size: 1000, Fetch batch size: 10000
2026-01-27 13:14:29 INFO commands.gen_schemas - Refresh schema groups: True
2026-01-27 13:14:29 INFO commands.gen_schemas - === Directory Configuration ===
2026-01-27 13:14:29 INFO commands.gen_schemas - Input directory (source): D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Files will be read from this directory
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Only files with _ingested_analyzed_ prefix will be processed
2026-01-27 13:14:29 INFO commands.gen_schemas - Output directory (destination): D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Files will be moved from input directory to this directory
2026-01-27 13:14:29 INFO commands.gen_schemas -   - Files will be organized into subfolders (group_1, group_2, etc.) by schema group
2026-01-27 13:14:29 INFO commands.gen_schemas - === Starting Schema Grouping Pipeline ===
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 1: Reading files from input directory: D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 2: Refreshing schema_groups table from mrf_analysis data
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 3: Moving files to output directory: D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready
2026-01-27 13:14:29 INFO commands.gen_schemas - Step 4: Organizing files into schema group subfolders (group_1, group_2, etc.)
2026-01-27 13:14:29 INFO src.schema_orchestrator - === Step 1: Skipping shape detection (disabled) ===
2026-01-27 13:14:29 INFO src.schema_orchestrator - === Step 2: Checking for new schema groups ===
2026-01-27 13:14:29 INFO src.schema_orchestrator - Found 0 unique min_file_name values before refresh
2026-01-27 13:14:29 INFO src.schema_orchestrator - === Step 3: Refreshing schema_groups table ===
2026-01-27 13:14:30 INFO src.schema_groups_db - Dropped schema_groups table (refresh requested)
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-B73-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-B73-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-A7X-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-A7X-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-A35-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-A35-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B70-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B70-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-B6B-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-B6B-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X04-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X04-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-F10-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-F10-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-G46-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-G46-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X39-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X39-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-W59-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-W59-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-J69-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-J69-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-B4V-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-B4V-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X72-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X72-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B34-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B34-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-A8Q-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-A8Q-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-L95-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-L95-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-W70-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-W70-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-S49-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-S49-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-G30-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-G30-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B3S-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B3S-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B4D-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B4D-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-C62-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-C62-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X24-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X24-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-A51-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-A51-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-B4X-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-B4X-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B4U-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-B4U-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-P57-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-P57-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-W18-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-W18-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-U76-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-U76-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-BLUHMO-A8A-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-BLUHMO-A8A-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X04-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-X04-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-P57-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-P57-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2026-01_378_49A0_in-network-rates_10_of_12.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2026-01_378_49A0_in-network-rates_10_of_12.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-724-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-724-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-K46-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-K46-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-D92-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUEH-D92-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-A7U-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_Blue-Advantage-HMO-BLUADV-A7U-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-S68-IL-HMO-Non-Standard_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-S68-IL-HMO-Non-Standard_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-14_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-14_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois_in-network-rates.json.gz
2026-01-27 13:14:30 INFO src.schema_orchestrator - Moved file: _ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-D87-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz -> D:\payer_mrf\data\Blue-Cross-and-Blue-Shield-of-Illinois\2026-01-23\ready\_ingested_analyzed_2025-12-12_Blue-Cross-and-Blue-Shield-of-Illinois_HMO-Illinois-HMO-D87-IL-HMO-Standard-Advocate-Health_in-network-rates.json.gz
